Precision Recall_train	
iteration_42_Recall	,6,1
iteration_42_Recall	,7,1
iteration_43_Precision	,0,1
iteration_43_Precision	,1,0.972067
iteration_43_Precision	,2,1
iteration_43_Precision	,3,0.99187
iteration_43_Precision	,4,0.996226
iteration_43_Precision	,5,1
iteration_43_Precision	,6,1
iteration_43_Precision	,7,1
iteration_43_Recall	,0,0.953846
iteration_43_Recall	,1,0.994286
iteration_43_Recall	,2,1
iteration_43_Recall	,3,0.96063
iteration_43_Recall	,4,0.992481
iteration_43_Recall	,5,1
iteration_43_Recall	,6,1
iteration_43_Recall	,7,1
iteration_44_Precision	,0,1
iteration_44_Precision	,1,0.969444
iteration_44_Precision	,2,1
iteration_44_Precision	,3,1
iteration_44_Precision	,4,0.996226
iteration_44_Precision	,5,1
iteration_44_Precision	,6,1
iteration_44_Precision	,7,1
iteration_44_Recall	,0,0.953846
iteration_44_Recall	,1,0.997143
iteration_44_Recall	,2,1
iteration_44_Recall	,3,0.952756
iteration_44_Recall	,4,0.992481
iteration_44_Recall	,5,1
iteration_44_Recall	,6,1
iteration_44_Recall	,7,1
iteration_45_Precision	,0,1
iteration_45_Precision	,1,0.972145
iteration_45_Precision	,2,1
iteration_45_Precision	,3,1
iteration_45_Precision	,4,0.996241
iteration_45_Precision	,5,1
iteration_45_Precision	,6,1
iteration_45_Precision	,7,1
iteration_45_Recall	,0,0.953846
iteration_45_Recall	,1,0.997143
iteration_45_Recall	,2,1
iteration_45_Recall	,3,0.952756
iteration_45_Recall	,4,0.996241
iteration_45_Recall	,5,1
iteration_45_Recall	,6,1
iteration_45_Recall	,7,1
iteration_46_Precision	,0,1
iteration_46_Precision	,1,0.97493
iteration_46_Precision	,2,1
iteration_46_Precision	,3,1
iteration_46_Precision	,4,1
iteration_46_Precision	,5,1
iteration_46_Precision	,6,1
iteration_46_Precision	,7,1
iteration_46_Recall	,0,0.953846
iteration_46_Recall	,1,1
iteration_46_Recall	,2,1
iteration_46_Recall	,3,0.96063
iteration_46_Recall	,4,0.996241
iteration_46_Recall	,5,1
iteration_46_Recall	,6,1
iteration_46_Recall	,7,1
iteration_47_Precision	,0,1
iteration_47_Precision	,1,0.980392
iteration_47_Precision	,2,1
iteration_47_Precision	,3,1
iteration_47_Precision	,4,1
iteration_47_Precision	,5,1
